action,service,operation_type,risk_level,risk_weight,reason
glue:ListStatements,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:DescribeTenantDatabases,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CreateVpcEndpointServiceConfiguration,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:UpdateMonitoringSchedule,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
athena:StartQueryExecution,Athena,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DeleteVerifiedAccessGroup,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cloudformation:DescribeOrganizationsAccess,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeVpnConcentrators,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:StopAutomationExecution,Systems Manager,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ssm:UpdateDocument,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:DisassociateKmsKey,CloudWatch Logs,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ecs:DescribeServices,ECS,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:CreateOptionGroup,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sns:ListEndpointsByPlatformApplication,SNS,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:GetStages,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:RebootDBCluster,RDS,OTHER,MEDIUM,5,Project-defined review required for this operation.
secretsmanager:RemoveRegionsFromReplication,Secrets Manager,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:CopyFpgaImage,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
bedrock:CreateAutomatedReasoningPolicyVersion,Bedrock,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:ModifyIpam,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:DeleteAccountPasswordPolicy,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
apigateway:CreateDomainName,API Gateway,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
dynamodb:GetResourcePolicy,DynamoDB,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ecr:DeleteLifecyclePolicy,ECR,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
comprehend:StopEventsDetectionJob,Comprehend,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
redshift:ResetClusterParameterGroup,Redshift,OTHER,MEDIUM,5,Project-defined review required for this operation.
kms:GenerateDataKeyPairWithoutPlaintext,KMS,SECURITY_SENSITIVE,HIGH,8,Can expose or manipulate sensitive security material/access.
apigateway:GetGatewayResponses,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:DescribeDocument,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:ListDataQualityRuleRecommendationRuns,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:GetGroupPolicy,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
sagemaker:DeleteNotebookInstanceLifecycleConfig,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
glue:RunStatement,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:ListDocumentMetadataHistory,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecr:DeleteRepositoryCreationTemplate,ECR,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
autoscaling:DetachLoadBalancers,Auto Scaling,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ecr:PutSigningConfiguration,ECR,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cognito-idp:ListUserPoolClients,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudformation:BatchDescribeTypeConfigurations,CloudFormation,OTHER,MEDIUM,5,Project-defined review required for this operation.
guardduty:GetTrustedEntitySet,GuardDuty,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:DescribeImportTasks,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
sqs:GetQueueAttributes,SQS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DeleteRoute,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
secretsmanager:GetResourcePolicy,Secrets Manager,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:AssociateTransitGatewayPolicyTable,EC2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
sagemaker:DeleteProject,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:DisassociateSecurityGroupVpc,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
apigatewayv2:GetVpcLinks,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:DeleteLogGroup,CloudWatch Logs,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
lambda:ListDurableExecutionsByFunction,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:GetMaintenanceWindowTask,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CreateVpcBlockPublicAccessExclusion,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
athena:CreateDataCatalog,Athena,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:PutDestinationPolicy,CloudWatch Logs,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
cloudformation:CreateStackSet,CloudFormation,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:DeleteDocument,Systems Manager,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:DescribeApp,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:DisableLogging,Redshift,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
iam:UntagOpenIDConnectProvider,IAM,TAGGING,LOW,3,Changes resource tags or metadata.
ec2:GetInstanceMetadataDefaults,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ReleaseHosts,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
bedrock:ListAutomatedReasoningPolicyTestCases,Bedrock,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
opensearch:ListPackagesForDomain,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
firehose:TagDeliveryStream,Kinesis Firehose,TAGGING,LOW,3,Changes resource tags or metadata.
rds:DescribePendingMaintenanceActions,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:GetIpamPrefixListResolverVersionEntries,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:GetLogRecord,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:DescribeIntegrations,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeVpcClassicLink,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:DeleteQueryDefinition,CloudWatch Logs,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ecr:BatchGetImage,ECR,READ,LOW,2,Primarily reads or inspects AWS state/data.
opensearch:AddDirectQueryDataSource,OpenSearch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:DescribeInstanceProperties,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeLaunchTemplateVersions,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeImportSnapshotTasks,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:GetDatabase,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:CreateInferenceRecommendationsJob,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigateway:FlushStageCache,API Gateway,OTHER,MEDIUM,5,Project-defined review required for this operation.
apigatewayv2:DeleteCorsConfiguration,API Gateway V2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
rds:DescribeDBSnapshotAttributes,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DeleteDhcpOptions,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
opensearch:CreateIndex,OpenSearch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:PutDeliveryDestination,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sns:DeleteEndpoint,SNS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cloudwatch:GetMetricStream,CloudWatch,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:SetRiskConfiguration,Cognito Identity,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
redshift:RotateEncryptionKey,Redshift,OTHER,MEDIUM,5,Project-defined review required for this operation.
cognito-idp:ListUserPools,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeTransitGatewayRouteTables,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
athena:CreateNotebook,Athena,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:ListMFADeviceTags,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:DeleteParameters,Systems Manager,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
kinesis:CreateStream,Kinesis,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DeleteLocalGatewayRouteTableVpcAssociation,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
logs:PutDeliverySource,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:DisableSagemakerServicecatalogPortfolio,SageMaker,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
glue:BatchGetDevEndpoints,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:PublishLayerVersion,Lambda,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:StartLiveTail,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigateway:PutIntegration,API Gateway,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:GetLogEvents,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:GetRouteServerAssociations,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
comprehend:DescribeEventsDetectionJob,Comprehend,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:StopDurableExecution,Lambda,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
comprehend:ListDocumentClassificationJobs,Comprehend,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecr:UpdateImageStorageClass,ECR,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:GetInstanceTpmEkPub,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:GetRole,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
secretsmanager:GetSecretValue,Secrets Manager,SECURITY_SENSITIVE,HIGH,8,Can expose or manipulate sensitive security material/access.
sagemaker:StopMlflowTrackingServer,SageMaker,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
cognito-idp:AdminInitiateAuth,Cognito Identity,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:GetVpnConnectionDeviceSampleConfiguration,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:GetAuthorizers,API Gateway,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
glue:ListDataQualityStatisticAnnotations,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:DeleteBlueprint,Glue,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
redshift:ModifyClusterSubnetGroup,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
redshift:DescribeLoggingStatus,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DeregisterDevices,SageMaker,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:DisableInstanceSqlHaStandbyDetections,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ec2:CreateReservedInstancesListing,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cognito-idp:VerifySoftwareToken,Cognito Identity,OTHER,MEDIUM,5,Project-defined review required for this operation.
rds:AuthorizeDBSecurityGroupIngress,RDS,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
sagemaker:DeleteAIBenchmarkJob,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
bedrock:PutResourcePolicy,Bedrock,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
iam:AttachRolePolicy,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:DescribeAvailabilityZones,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecr:TagResource,ECR,TAGGING,LOW,3,Changes resource tags or metadata.
sqs:GetQueueUrl,SQS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeVolumesModifications,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DescribeModelPackageGroup,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ModifyPublicIpDnsNameOptions,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:CreateTableOptimizer,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
eks:DescribeCapability,EKS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeVpcEndpointServiceConfigurations,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:DescribeLogStreams,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecs:PutClusterCapacityProviders,ECS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudtrail:GetResourcePolicy,CloudTrail,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
opensearch:DeletePackage,OpenSearch,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:ModifyTransitGatewayMeteringPolicy,EC2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ecs:DescribeExpressGatewayService,ECS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:GetConnectionStatus,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:PutIndexPolicy,CloudWatch Logs,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
cloudformation:DeactivateOrganizationsAccess,CloudFormation,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
redshift:ModifyClusterIamRoles,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigatewayv2:GetTags,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:GetRouteServerPropagations,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
bedrock:CreateGuardrail,Bedrock,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:AssignPrivateIpAddresses,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
opensearch:UpdateDomainConfig,OpenSearch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
opensearch:DescribeReservedInstanceOfferings,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
bedrock:DeleteAutomatedReasoningPolicy,Bedrock,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
rds:DescribeOptionGroups,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:GetObjectTagging,S3,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:GetClassifier,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DescribeHubContent,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:GetBucketWebsite,S3,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudformation:DescribeStackSetOperation,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:DescribeInstanceInformation,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:DeleteDeployment,API Gateway,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:DeleteEndpointConfig,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
autoscaling:CancelInstanceRefresh,Auto Scaling,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
logs:PutDataProtectionPolicy,CloudWatch Logs,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
sagemaker:StopInferenceExperiment,SageMaker,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ec2:AllocateIpamPoolCidr,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigatewayv2:DeleteRouteSettings,API Gateway V2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cognito-idp:UpdateUserPoolClient,Cognito Identity,IDENTITY,HIGH,9,"Can create, modify, or remove an identity or credential."
sagemaker:DescribeNotebookInstance,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecs:RegisterTaskDefinition,ECS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:CreateDBClusterEndpoint,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:GetUnfilteredPartitionsMetadata,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
route53:CreateKeySigningKey,Route 53,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:CreateVolume,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
autoscaling:AttachLoadBalancers,Auto Scaling,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:DescribeEvents,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:DescribeAssociationExecutions,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
route53:TestDNSAnswer,Route 53,OTHER,MEDIUM,5,Project-defined review required for this operation.
logs:DeleteSubscriptionFilter,CloudWatch Logs,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
rds:RemoveTagsFromResource,RDS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ecr:DescribeImageReplicationStatus,ECR,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudtrail:PutEventConfiguration,CloudTrail,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:CreateSubnet,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
redshift:DescribeReservedNodes,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudformation:ListResourceScans,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ModifyPrivateDnsNameOptions,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cognito-idp:AddCustomAttributes,Cognito Identity,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:ListTriggers,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecs:CreateDaemon,ECS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:DescribeStackDriftDetectionStatus,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ModifyVerifiedAccessEndpoint,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
lambda:DeleteProvisionedConcurrencyConfig,Lambda,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
opensearch:UpdateDirectQueryDataSource,OpenSearch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
kms:ReEncrypt,KMS,SECURITY_SENSITIVE,HIGH,8,Can expose or manipulate sensitive security material/access.
lambda:PublishVersion,Lambda,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:DeleteCluster,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
opensearch:DescribeDomainAutoTunes,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:ListSAMLProviderTags,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecr:DescribeImageSigningStatus,ECR,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DeleteTrafficMirrorTarget,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:CreateTrafficMirrorSession,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudtrail:CreateEventDataStore,CloudTrail,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:DescribeSubscriptionFilters,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:GetBucketLifecycle,S3,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:UpdateDatabase,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:CreateLogAnomalyDetector,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cognito-idp:SetUICustomization,Cognito Identity,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
s3:GetObjectLegalHold,S3,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:GetInstanceProfile,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ModifyReservedInstances,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:PutDataQualityProfileAnnotation,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:StopAIRecommendationJob,SageMaker,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
lambda:GetCodeSigningConfig,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:CreateDBProxyEndpoint,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
s3:PutBucketAnalyticsConfiguration,S3,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:DescribeStackInstance,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:ListTags,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ModifySnapshotAttribute,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
athena:UpdateNotebookMetadata,Athena,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
dynamodb:Scan,DynamoDB,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:UploadPartCopy,S3,OTHER,MEDIUM,5,Project-defined review required for this operation.
glue:RegisterConnectionType,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudtrail:GetChannel,CloudTrail,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:DisassociateOpsItemRelatedItem,Systems Manager,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
bedrock:ListMarketplaceModelEndpoints,Bedrock,READ,LOW,2,Primarily reads or inspects AWS state/data.
sqs:CreateQueue,SQS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
kinesis:GetResourcePolicy,Kinesis,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
autoscaling:DeletePolicy,Auto Scaling,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
redshift:DescribeRedshiftIdcApplications,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ModifyInstanceNetworkPerformanceOptions,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:PutDeliveryDestinationPolicy,CloudWatch Logs,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
comprehend:DescribeFlywheelIteration,Comprehend,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:UpdateRoute,API Gateway V2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigateway:DeleteIntegration,API Gateway,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
apigateway:CreateUsagePlanKey,API Gateway,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeCapacityReservationBillingRequests,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:UpdateUsage,API Gateway,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigateway:GetDocumentationVersions,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:CreateAssociationBatch,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:DescribeDBClusterBacktracks,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:PutWorkflowRunProperties,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
events:UpdateEndpoint,EventBridge,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cognito-idp:StopUserImportJob,Cognito Identity,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
opensearch:GetUpgradeHistory,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:ListAccessKeys,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DeleteQueuedReservedInstances,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
apigatewayv2:DeleteDeployment,API Gateway V2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
redshift:PurchaseReservedNodeOffering,Redshift,OTHER,MEDIUM,5,Project-defined review required for this operation.
glue:GetColumnStatisticsTaskRuns,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:RegisterDevices,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:RegisterDBProxyTargets,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cognito-idp:ForgetDevice,Cognito Identity,OTHER,MEDIUM,5,Project-defined review required for this operation.
logs:DescribeDeliverySources,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:FailoverPrimaryCompute,Redshift,OTHER,MEDIUM,5,Project-defined review required for this operation.
opensearch:AcceptInboundConnection,OpenSearch,OTHER,MEDIUM,5,Project-defined review required for this operation.
cognito-idp:UpdateDeviceStatus,Cognito Identity,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
autoscaling:AttachLoadBalancerTargetGroups,Auto Scaling,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:DescribeWorkteam,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:StopLabelingJob,SageMaker,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
kms:ListKeyRotations,KMS,READ,LOW,2,Primarily reads or inspects AWS state/data.
opensearch:ListInsights,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:CreateDomainNameAccessAssociation,API Gateway,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:CreateLocalGatewayRoute,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:DeleteDBProxyEndpoint,RDS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ecs:ListDaemonTaskDefinitions,ECS,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:CreatePipeline,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeIpamByoasn,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CreateCapacityReservationBySplitting,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
